Whisky,Age,MetaCritic,StDev,Num_of_Critics,Cost,Class,SuperCluster,Cluster,Country,Type
Springbank 12yo Green,12,8.76,0.29,8,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Caol Ila 18yo,18,8.75,0.5,18,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Nikka Pure Malt Black,0,8.75,0.24,16,$50-70 CAD,SingleMalt-like,I,I,Japan,Malt
Nikka Yoichi 12yo,12,8.75,0.19,9,$125-300 CAD,SingleMalt-like,I,I,Japan,Malt
Port Ellen 2nd release 24yo 54.3%,24,8.75,0.67,3,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte Scottish Barley Heavily Peated,0,8.74,0.24,17,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Caol Ila 12yo,12,8.74,0.18,22,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Westland Peat Week,0,8.74,0.27,4,$70-125 CAD,SingleMalt-like,I,I,USA,Malt
Oban 18yo,18,8.73,0.2,15,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Paul John Bold,0,8.73,0.22,6,$50-70 CAD,SingleMalt-like,I,I,India,Malt
Paul John Peated Select Cask,0,8.73,0.27,9,$70-125 CAD,SingleMalt-like,I,I,India,Malt
Big Peat (Douglas Laing),0,8.72,0.25,16,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte An Turas Mor,0,8.72,0.25,12,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Springbank 10yo,10,8.72,0.26,22,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Highland Park 15yo Freya,15,8.71,0.37,14,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Spirit of Hven Tycho‰Ûªs Star,0,8.71,0.27,6,$70-125 CAD,SingleMalt-like,I,I,Sweden,Malt
Highland Park 17yo Ice,17,8.7,0.28,10,>$300 CAD,SingleMalt-like,I,I,Scotland,Malt
Compass Box Lady Luck,0,8.69,0.42,6,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Nikka Pure Malt White,0,8.69,0.33,13,$50-70 CAD,SingleMalt-like,I,I,Japan,Malt
Kilchoman Sanaig,0,8.68,0.25,16,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Benromach 10yo,10,8.67,0.26,23,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Kilchoman Coull Point,0,8.67,0.3,7,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Nikka Miyagikyo 15yo,15,8.67,0.27,13,$125-300 CAD,SingleMalt-like,I,I,Japan,Malt
Balvenie 14yo Peat Week,14,8.66,0.17,10,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Dun Bheagan Islay (all vintage editions),0,8.65,0.17,7,$30-50 CAD,SingleMalt-like,I,I,Scotland,Malt
Highland Park 12yo (all reviews),12,8.65,0.21,26,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Nikka Yoichi 10yo,10,8.65,0.28,18,$70-125 CAD,SingleMalt-like,I,I,Japan,Malt
Glenglassaugh Torfa,0,8.64,0.33,7,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Talisker Dark Storm,0,8.64,0.18,13,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Highland Park 12yo Viking Honour (post-2017),12,8.63,0.15,7,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Kilchoman Sauternes Cask Matured,0,8.63,0.21,7,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore 15yo Mariner,15,8.62,0.47,7,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Mackmyra Svensk RÌ¦k,0,8.62,0.21,5,$70-125 CAD,SingleMalt-like,I,I,Sweden,Malt
BenRiach 10yo Curiositas,10,8.61,0.28,20,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore Vault Edition First Release,0,8.61,0.28,13,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Glenfiddich Fire & Cane Experimental Series No. 4,0,8.61,0.21,9,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Longrow 7yo Gaja Barolo Finish,7,8.6,0.5,8,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore 17yo White Sands,17,8.59,0.31,7,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Islay Barley (all vintages),0,8.59,0.15,14,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
"Elements of Islay ""Peat""",0,8.59,0.76,6,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Mars Kogamatake The Revival 2011,0,8.59,0.44,5,$125-300 CAD,SingleMalt-like,I,I,Japan,Malt
Nikka Yoichi NAS,0,8.59,0.3,11,$70-125 CAD,SingleMalt-like,I,I,Japan,Malt
Paul John Edited,0,8.58,0.39,9,$50-70 CAD,SingleMalt-like,I,I,India,Malt
Talisker Storm,0,8.58,0.26,19,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
BenRiach Peated Quarter Casks,0,8.56,0.32,4,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Penderyn Celt,0,8.56,0.5,4,$50-70 CAD,SingleMalt-like,I,I,Wales,Malt
Arran Malt Machrie Moor Cask Strength,0,8.55,0.64,7,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Nikka Miyagikyo 12yo,12,8.55,0.3,8,$70-125 CAD,SingleMalt-like,I,I,Japan,Malt
Bowmore 18yo,18,8.54,0.41,22,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
GlenDronach Peated,0,8.54,0.3,11,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Box (High Coast) Early Days (batches 01/02),0,8.53,0.24,3,$70-125 CAD,SingleMalt-like,I,I,Sweden,Malt
Spirit of Hven Seven Stars No. 2 Merak,0,8.52,0.35,4,$125-300 CAD,SingleMalt-like,I,I,Sweden,Malt
Westland Peated,0,8.52,0.44,11,$70-125 CAD,SingleMalt-like,I,I,USA,Malt
Ardmore Traditional Cask,0,8.51,0.21,22,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Compass Box Eleuthera,0,8.51,0.38,13,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Glen Garioch 1997,0,8.51,0.17,6,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Highland Park 10yo,10,8.51,0.25,15,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Nikka Miyagikyo 10yo,10,8.51,0.29,8,$70-125 CAD,SingleMalt-like,I,I,Japan,Malt
Oban 14yo,14,8.5,0.38,23,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Teerenpeli Suomi 100 Juhlaviski,0,8.5,0.56,3,$70-125 CAD,SingleMalt-like,I,I,Finland,Malt
Spirit of Hven Seven Stars No. 3 Phecda,0,8.49,0.36,3,$125-300 CAD,SingleMalt-like,I,I,Sweden,Malt
Glenfiddich Vintage Cask,0,8.48,0.26,6,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Box (High Coast) Dalvve,0,8.47,0.28,10,$70-125 CAD,SingleMalt-like,I,I,Sweden,Malt
Fettercairn Fior,0,8.47,0.26,6,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Dun Bheagan Islay 1999,0,8.43,0.24,3,$30-50 CAD,SingleMalt-like,I,I,Scotland,Malt
Glen Moray Classic Peated,0,8.42,0.29,5,$30-50 CAD,SingleMalt-like,I,I,Scotland,Malt
Ledaig 10yo,10,8.42,0.38,23,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Highland Park 12yo (reviews 2014-2017),12,8.41,0.42,15,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore 17yo,17,8.4,0.64,8,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Glenglassaugh Octaves Peated,0,8.39,0.5,3,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Wemyss Malts Peat Chimney,0,8.39,0.41,14,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Benromach Sassicaia,0,8.38,0.15,7,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore 12yo,12,8.38,0.28,20,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore No.1,0,8.37,0.3,6,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Oban Little Bay,0,8.37,0.35,15,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore Gold Reef,0,8.34,0.32,11,$30-50 CAD,SingleMalt-like,I,I,Scotland,Malt
Glen Scotia 12yo,12,8.28,0.55,9,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Penderyn Peated,0,8.28,0.58,9,$70-125 CAD,SingleMalt-like,I,I,Wales,Malt
Jura Superstition,0,8.27,0.45,23,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
BenRiach Birnie Moss,0,8.26,0.33,11,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Spirit of Hven Seven Stars No. 1 Dubhe,0,8.26,0.41,3,$125-300 CAD,SingleMalt-like,I,I,Sweden,Malt
Springbank CV,0,8.26,0.37,8,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Old Ballantruan Peated (Toumintoul),0,8.24,0.42,9,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore Small Batch,0,8.22,0.51,13,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich 8yo Laddie Eight,8,8.21,0.64,4,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Connemara Peated Single Malt,0,8.21,0.25,17,$50-70 CAD,SingleMalt-like,I,I,Ireland,Malt
St George's Chapter 9 (peated),0,8.2,0.46,5,$50-70 CAD,SingleMalt-like,I,I,England,Malt
Highland Park Einar,0,8.18,0.4,9,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Glenrothes Peated Cask Reserve,0,8.09,0.57,3,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Jura 10yo Origin,10,8.05,0.34,18,$50-70 CAD,SingleMalt-like,I,I,Scotland,Malt
Arran Malt Machrie Moor Peated (all editions),0,8.01,0.56,14,$70-125 CAD,SingleMalt-like,I,I,Scotland,Malt
Glenfiddich 12yo Caoran Reserve,12,7.83,0.51,8,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Bowmore Legend,0,7.67,0.56,10,$30-50 CAD,SingleMalt-like,I,I,Scotland,Malt
Longrow 10yo Tokaji Finish,10,7.46,1.07,6,$125-300 CAD,SingleMalt-like,I,I,Scotland,Malt
Brora 35yo,35,9.42,0.31,12,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Brora 30yo,30,9.34,0.25,18,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 23yo Twenty Something,23,9.28,0.17,6,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Uigeadail,0,9.17,0.39,24,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 9.3,0,9.17,0.1,6,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Lagavulin 16yo,16,9.17,0.27,28,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 21yo,21,9.17,0.28,10,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 21yo,21,9.13,0.27,11,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2015,0,9.12,0.24,11,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Lagavulin 12yo Cask Strength,12,9.11,0.16,23,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Amrut Peated Single Malt Cask Strength,0,9.08,0.28,13,$70-125 CAD,SingleMalt-like,J,J,India,Malt
Kilchoman Original Cask Strength,0,9.08,0.23,8,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Supernova 2014,0,9.07,0.31,15,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 6.2,0,9.07,0.19,10,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 8.3,0,9.06,0.15,10,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Compass Box No Name,0,9.06,0.16,10,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 8.2,0,9.05,0.19,5,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Corryvreckan,0,9.04,0.32,23,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.3,0,9.03,0.52,10,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Lagavulin Distiller's Edition (All Vintages),0,9.03,0.23,24,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Alligator,0,9.02,0.18,15,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Ardbog,0,9.02,0.44,20,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Longrow 18yo,18,9.01,0.31,12,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 10 (Second Edition),0,9,0.22,11,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Kilchoman 2008 Vintage,0,9,0.18,6,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 18yo,18,9,0.27,21,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Supernova 2015,0,8.99,0.32,7,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2014 - 10th Anniversary,0,8.99,0.3,11,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.1,0,8.98,0.27,14,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
AnCnoc Cutter,0,8.97,0.47,9,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Kilchoman 2009 Vintage,0,8.96,0.11,4,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 10yo Cask Strength (all batches),10,8.96,0.33,21,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 17yo,17,8.95,0.32,8,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Ichiro's Malt Chichibu The Peated,0,8.95,0.35,11,>$300 CAD,SingleMalt-like,J,J,Japan,Malt
Amrut Portpipe Peated Single Cask #2712 (2013),0,8.94,0.1,3,$70-125 CAD,SingleMalt-like,J,J,India,Malt
Kilchoman 2007 Vintage,0,8.94,0.29,9,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2014 Amontillado,0,8.94,0.21,11,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Smogen Single Cask 4yo 7/2011,4,8.93,0.22,4,$125-300 CAD,SingleMalt-like,J,J,Sweden,Malt
Box (High Coast) The Festival 2014,0,8.92,0.12,3,$125-300 CAD,SingleMalt-like,J,J,Sweden,Malt
Compass Box Peat Monster 2008 Reserve Edition,0,8.91,0.18,3,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 10yo,10,8.89,0.35,25,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Amrut 100 Peated,0,8.88,0.33,7,$70-125 CAD,SingleMalt-like,J,J,India,Malt
Bruichladdich Octomore 10,0,8.88,0.38,5,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Lagavulin 8yo,8,8.88,0.24,21,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
AnCnoc Rutter,0,8.87,0.3,8,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 8.1,0,8.87,0.14,12,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Smogen Single Cask (all editions),0,8.87,0.14,5,$125-300 CAD,SingleMalt-like,J,J,Sweden,Malt
Ardbeg Dark Cove,0,8.86,0.31,18,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Brora 21yo,21,8.86,0.41,4,>$300 CAD,SingleMalt-like,J,J,Scotland,Malt
Compass Box Monster 2004,0,8.85,0.35,3,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 10yo,10,8.85,0.26,25,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Grooves,0,8.84,0.2,12,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.2,0,8.84,0.47,10,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig An Cuan Mor,0,8.84,0.17,14,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2016 Madeira,0,8.84,0.41,13,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Auriverdes,0,8.83,0.37,19,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2018 Fino,0,8.83,0.24,6,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg An Oa,0,8.82,0.27,14,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Wemyss Malts Kiln Embers,0,8.82,0.16,4,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2015 Cask Strength,0,8.81,0.29,6,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Longrow CV,0,8.81,0.33,17,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Kelpie,0,8.8,0.14,10,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Perpetuum,0,8.8,0.43,17,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 15yo (200th Anniversary),15,8.8,0.31,17,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
BenRiach 18yo Dunder,18,8.79,0.29,5,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Big Peat Christmas Edition (2012-2016),0,8.79,0.12,12,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 6.3,0,8.79,0.64,10,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain CeÌ_banach,0,8.79,0.28,14,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Longrow Peated,0,8.78,0.18,16,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Port Charlotte Islay Barley Heavily Peated,0,8.77,0.21,6,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Kilchoman Machir Bay (all vintages),0,8.77,0.22,23,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 6.1,0,8.76,0.29,16,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Connemara Turf Mor,0,8.74,0.45,11,$70-125 CAD,SingleMalt-like,J,J,Ireland,Malt
Amrut Portpipe Peated Single Cask #2713 (2013),0,8.73,0.15,4,$70-125 CAD,SingleMalt-like,J,J,India,Malt
Compass Box Peat Monster (all editions),0,8.72,0.26,22,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Kilchoman Spring 2011 Release,0,8.72,0.23,8,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Kilchoman 100% Islay (all editions),0,8.71,0.23,19,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Amrut Portpipe Peated Single Cask (all casks),0,8.7,0.43,14,$70-125 CAD,SingleMalt-like,J,J,India,Malt
Compass Box Peat Monster 2015,0,8.7,0.18,4,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 9.1,0,8.69,0.39,5,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2005,0,8.69,0.09,4,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Triple Wood,0,8.69,0.34,20,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Amrut Peated Single Malt,0,8.68,0.29,14,$70-125 CAD,SingleMalt-like,J,J,India,Malt
Caol Ila Distiller's Edition (all editions),0,8.68,0.34,16,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2017,0,8.67,0.27,9,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Smogen Single Cask 4yo 20/2011,4,8.67,0.25,3,$125-300 CAD,SingleMalt-like,J,J,Sweden,Malt
Compass Box Peat Monster 2012,0,8.65,0.33,11,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Ileach Peated Islay Cask Strength,0,8.65,0.42,13,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Jura Prophecy,0,8.65,0.31,18,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Lore,0,8.62,0.3,17,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
Amrut Portpipe Peated Single Cask #2712 (2016),0,8.61,0.55,5,$70-125 CAD,SingleMalt-like,J,J,India,Malt
Bruichladdich Octomore 7.4,0,8.59,0.65,9,$125-300 CAD,SingleMalt-like,J,J,Scotland,Malt
AnCnoc Flaughter,0,8.57,0.32,11,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain Toiteach,0,8.56,0.36,16,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
BenRiach 17yo Septendecim Peated,17,8.54,0.53,18,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Kilchoman Winter 2010 Release,0,8.51,0.15,4,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Port Charlotte The Peat Project,0,8.49,0.39,7,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2010,0,8.46,0.84,3,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Finlaggan Old Reserve,0,8.45,0.5,15,$30-50 CAD,SingleMalt-like,J,J,Scotland,Malt
Benromach Peat Smoke,0,8.43,0.27,15,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Ileach Peated Islay,0,8.37,0.33,8,$30-50 CAD,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain Cruach Mhona,0,8.34,0.38,8,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Quarter Cask,0,8.31,0.27,24,$70-125 CAD,SingleMalt-like,J,J,Scotland,Malt
Santis Edition Dreifaltigkeit,0,8.02,1.23,7,$70-125 CAD,SingleMalt-like,J,J,Switzerland,Malt
Tomintoul Peaty Tang,0,7.86,0.66,12,$30-50 CAD,SingleMalt-like,J,J,Scotland,Malt
McClelland's Islay Single Malt,0,7.83,0.67,9,$30-50 CAD,SingleMalt-like,J,J,Scotland,Malt
Laphroaig QA Cask,0,7.27,0.51,11,$50-70 CAD,SingleMalt-like,J,J,Scotland,Malt
Santis Edition Dreifaltigkeit / Cask Strength Peated,0,7.2,1.74,12,$70-125 CAD,SingleMalt-like,J,J,Switzerland,Malt
Santis Cask Strength Peated,0,6.44,1.89,6,$70-125 CAD,SingleMalt-like,J,J,Switzerland,Malt
Compass Box The General,0,9.18,0.26,11,>$300 CAD,Scotch-like,,,Scotland,Blend
Black Bull 40yo,40,9.1,0.35,12,>$300 CAD,Scotch-like,,,Scotland,Blend
Compass Box Hedonism Quindecimus,0,9,0.43,8,$125-300 CAD,Scotch-like,,,Scotland,Blend
Compass Box The Circus,0,8.91,0.25,8,$125-300 CAD,Scotch-like,,,Scotland,Blend
Chivas Regal Ultis,0,8.88,0.45,7,$125-300 CAD,Scotch-like,,,Scotland,Blend
Powers 12yo John's Lane,12,8.81,0.38,17,$70-125 CAD,Scotch-like,,,Ireland,Blend
Yellow Spot 12yo,12,8.78,0.23,18,$70-125 CAD,Scotch-like,,,Ireland,Blend
Ballantine's 17yo,17,8.76,0.31,15,$70-125 CAD,Scotch-like,,,Scotland,Blend
High West Campfire,0,8.74,0.29,15,$70-125 CAD,Scotch-like,,,USA,Blend
Chivas Regal 25yo,25,8.73,0.24,8,>$300 CAD,Scotch-like,,,Scotland,Blend
The Irishman Cask Strength,0,8.71,0.26,5,$125-300 CAD,Scotch-like,,,Ireland,Blend
Grant's 18yo,18,8.67,0.31,6,$50-70 CAD,Scotch-like,,,Scotland,Blend
Jameson 18yo Limited Reserve,18,8.65,0.28,11,$125-300 CAD,Scotch-like,,,Ireland,Blend
Whyte & Mackay 30yo,30,8.65,0.2,4,>$300 CAD,Scotch-like,,,Scotland,Blend
Buchanan's 18yo Special Reserve Blended,18,8.63,0.33,6,$50-70 CAD,Scotch-like,,,Scotland,Blend
Hankey Bannister Heritage,0,8.63,0.33,5,$30-50 CAD,Scotch-like,,,Scotland,Blend
Johnnie Walker Blue Label,0,8.61,0.45,18,$125-300 CAD,Scotch-like,,,Scotland,Blend
Powers 12yo Reserve,12,8.61,0.24,6,$50-70 CAD,Scotch-like,,,Ireland,Blend
Black Bull 12yo,12,8.6,0.32,11,$50-70 CAD,Scotch-like,,,Scotland,Blend
Buchanan's Red Seal Blended,0,8.58,0.37,4,$125-300 CAD,Scotch-like,,,Scotland,Blend
Hankey Bannister 12yo Regency,12,8.58,0.21,7,$30-50 CAD,Scotch-like,,,Scotland,Blend
Ichiro's Malt & Grain World Blended,0,8.56,0.28,4,$70-125 CAD,Scotch-like,,,Japan,Blend
Compass Box Great King St Artist's Blend,0,8.55,0.36,23,$30-50 CAD,Scotch-like,,,Scotland,Blend
Johnnie Walker 15yo Green Label,15,8.55,0.35,22,$70-125 CAD,Scotch-like,,,Scotland,Blend
Hankey Bannister 21yo Partner's Reserve,21,8.54,0.44,5,$70-125 CAD,Scotch-like,,,Scotland,Blend
Nikka 12yo Premium Blended,12,8.54,0.16,6,$70-125 CAD,Scotch-like,,,Japan,Blend
Chivas Royal Salute 21yo,21,8.53,0.63,8,$125-300 CAD,Scotch-like,,,Scotland,Blend
Jameson Round Irish Whiskey,0,8.53,0.36,3,$70-125 CAD,Scotch-like,,,Ireland,Blend
Powers Signature Release,0,8.53,0.48,8,$50-70 CAD,Scotch-like,,,Ireland,Blend
Teeling Single Grain (Wine Cask Finish),0,8.53,0.29,12,$50-70 CAD,Scotch-like,,,Ireland,Grain
Writers Tears Pot Still Irish Whiskey,0,8.49,0.31,20,$30-50 CAD,Scotch-like,,,Ireland,Blend
Compass Box Great King St Glasgow Blend,0,8.48,0.22,16,$50-70 CAD,Scotch-like,,,Scotland,Blend
Famous Grouse Gold Reserve 12yo,12,8.47,0.29,11,$30-50 CAD,Scotch-like,,,Scotland,Blend
Jameson Cooper's Croze Irish Whiskey,0,8.47,0.3,8,$70-125 CAD,Scotch-like,,,Ireland,Blend
Johnnie Walker Explorer‰Ûªs Club The Gold Route,0,8.47,0.34,8,$70-125 CAD,Scotch-like,,,Scotland,Blend
Nikka Coffey Grain,0,8.47,0.51,18,$70-125 CAD,Scotch-like,,,Japan,Grain
Compass Box Delilah's,0,8.46,0.3,8,$70-125 CAD,Scotch-like,,,Scotland,Blend
Cutty Sark Prohibition,0,8.46,0.45,15,$30-50 CAD,Scotch-like,,,Scotland,Blend
Grant's 12yo,12,8.46,0.42,5,$30-50 CAD,Scotch-like,,,Scotland,Blend
Jameson Gold Reserve,0,8.46,0.38,10,$70-125 CAD,Scotch-like,,,Ireland,Blend
Jameson Blender's Dog Irish Whiskey,0,8.45,0.36,6,$70-125 CAD,Scotch-like,,,Ireland,Blend
Compass Box Hedonism,0,8.44,0.58,20,$70-125 CAD,Scotch-like,,,Scotland,Blend
Johnnie Walker Platinum Label,0,8.44,0.42,18,$70-125 CAD,Scotch-like,,,Scotland,Blend
